Row number,Year,Stlkey,Vessel code,Station,Setno,Gear,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
93,2023,20230275,VNI,2018,39,Fixed Hook,2B,70,Vancouver Outside,Standard Grid,19-Jun-23,Y,,49.00070,-126.60670,186,49.00050,-126.66680,114,49.0005,-126.6367,121,49.000,-126.633,4,4,84,25,8,8,99,7.95,459,,,,,,,,,,,
94,2023,20230276,VNI,2218,40,Fixed Hook,2B,70,Vancouver Outside,Standard Grid,19-Jun-23,Y,,48.99950,-126.83930,282,48.99950,-126.89550,355,48.9995,-126.8675,312,49.000,-126.883,0,0,0,0,8,8,99,7.95,592,,,,,,,,,,,
95,2023,20230277,VNI,2020,41,Fixed Hook,2B,70,Vancouver Outside,Standard Grid,19-Jun-23,Y,,49.16430,-126.65820,68,49.16500,-126.60130,61,49.1647,-126.6297,66,49.167,-126.633,7,19,84,150,8,8,100,8.03,713,,,,,,,,,,,
96,2023,20230278,VNI,2021,42,Fixed Hook,2B,70,Vancouver Outside,Standard Grid,20-Jun-23,Y,,49.16570,-126.85620,88,49.16550,-126.91070,107,49.1655,-126.8835,96,49.167,-126.883,6,13,70,103,8,8,100,8.03,455,,,,,,,,,,,
97,2023,20230279,VNI,2026,43,Fixed Hook,2B,70,Vancouver Outside,Standard Grid,20-Jun-23,Y,,49.33350,-127.17370,112,49.33270,-127.11230,90,49.3330,-127.1430,99,49.333,-127.150,19,20,302,146,8,8,99,7.95,563,,,,,,,,,,,
98,2023,20230280,VNI,2025,44,Fixed Hook,2B,70,Vancouver Outside,Standard Grid,20-Jun-23,Y,,49.33150,-126.91200,80,49.33250,-126.85530,71,49.3320,-126.8837,75,49.333,-126.883,27,58,343,461,8,8,99,7.95,687,,,,,,,,,,,
99,2023,20230281,VNI,2027,45,Fixed Hook,2B,70,Vancouver Outside,Standard Grid,21-Jun-23,Y,,49.50020,-126.60870,20,49.50100,-126.66920,26,49.5005,-126.6388,23,49.500,-126.633,9,9,215,72,8,8,99,7.95,401,,,,,,,,,,,
100,2023,20230297,PEN,2165,41,Fixed Hook,2B,132,Charlotte,Standard Grid,15-Jun-23,Y,,54.33330,-132.83220,204,54.33300,-132.90230,229,54.3332,-132.8672,214,54.333,-132.867,7,16,197,97,8,8,99,7.95,531,,,,,,,,,,,
101,2023,20230298,PEN,2156,42,Fixed Hook,2B,130,Charlotte,Standard Grid,15-Jun-23,Y,,54.15200,-133.15100,28,54.19280,-133.14930,43,54.1725,-133.1502,40,54.167,-133.150,51,140,891,934,8,8,99,7.95,607,,,,,,,,,,,
102,2023,20230299,PEN,2326,43,Fixed Hook,2B,132,Charlotte,Standard Grid,15-Jun-23,Y,,54.16670,-132.90420,19,54.16630,-132.84050,27,54.1665,-132.8723,23,54.166,-132.866,6,119,94,707,8,8,99,7.95,701,,,,,,,,,,,
103,2023,20230300,PEN,2155,44,Fixed Hook,2B,132,Charlotte,Standard Grid,16-Jun-23,Y,,54.16670,-132.53870,48,54.16750,-132.60400,44,54.1672,-132.5713,45,54.167,-132.567,4,81,91,451,8,8,98,7.87,512,,,,,,,,,,,
104,2023,20230301,PEN,2164,45,Fixed Hook,2B,132,Charlotte,Standard Grid,16-Jun-23,Y,,54.33330,-132.54900,144,54.33320,-132.61380,149,54.3333,-132.5813,144,54.333,-132.583,7,13,138,95,8,8,98,7.87,611,,,,,,,,,,,
105,2023,20230302,PEN,2154,46,Fixed Hook,2B,132,Charlotte,Standard Grid,16-Jun-23,Y,,54.16720,-132.31780,54,54.16720,-132.24980,47,54.1672,-132.2838,49,54.167,-132.283,2,17,31,107,8,8,101,8.11,707,,,,,,,,,,,
106,2023,20230303,PEN,2153,47,Fixed Hook,2B,132,Charlotte,Standard Grid,17-Jun-23,Y,,54.16750,-131.96620,42,54.16670,-132.03470,36,54.1672,-132.0003,38,54.167,-132.000,1,49,16,303,8,8,100,8.03,488,,,,,,,,,,,
107,2023,20230304,PEN,2163,48,Fixed Hook,2B,132,Charlotte,Standard Grid,17-Jun-23,Y,,54.33280,-132.27020,123,54.33380,-132.33750,117,54.3333,-132.3038,115,54.333,-132.300,39,50,938,313,8,8,99,7.95,619,,,,,,,,,,,
108,2023,20230305,PEN,2162,49,Fixed Hook,2B,132,Charlotte,Standard Grid,17-Jun-23,Y,,54.33350,-132.05580,139,54.33350,-131.99000,134,54.3335,-132.0230,136,54.333,-132.017,15,4,563,32,8,8,98,7.87,749,,,,,,,,,,,
109,2023,20230306,PEN,2161,50,Fixed Hook,2B,132,Charlotte,Standard Grid,18-Jun-23,Y,,54.33300,-131.68170,98,54.33320,-131.74400,109,54.3330,-131.7128,102,54.333,-131.717,24,17,342,131,8,8,98,7.87,585,,,,,,,,,,,
110,2023,20230307,PEN,2172,51,Fixed Hook,2B,132,Charlotte,Standard Grid,18-Jun-23,Y,,54.49950,-131.69530,181,54.50050,-131.76470,186,54.5000,-131.7300,184,54.500,-131.733,6,1,181,5,8,8,99,7.95,692,,,,,,,,,,,
111,2023,20230308,PEN,2171,52,Fixed Hook,2B,133,Charlotte,Standard Grid,18-Jun-23,Y,,54.49930,-131.46900,61,54.49870,-131.40700,71,54.4990,-131.4380,68,54.500,-131.433,78,43,"1,432",356,8,8,100,8.03,761,,,,,,,,,,,
112,2023,20230309,PEN,3009,53,Fixed Hook,2B,142,Charlotte,Standard Grid,19-Jun-23,Y,,54.66700,-131.07630,44,54.66670,-131.14550,122,54.6668,-131.1108,82,54.667,-131.133,16,68,258,505,8,8,100,8.03,533,,,,,,,,,,,
113,2023,20230310,PEN,3008,54,Fixed Hook,2B,142,Charlotte,Standard Grid,19-Jun-23,Y,,54.67620,-130.80880,165,54.65470,-130.86600,151,54.6653,-130.8375,150,54.667,-130.833,9,9,393,57,8,8,100,8.03,608,,,,,,,,,,,
114,2023,20230311,PEN,2170,55,Fixed Hook,2B,133,Charlotte,Standard Grid,19-Jun-23,Y,,54.49980,-131.18370,72,54.50020,-131.11550,78,54.5000,-131.1497,74,54.500,-131.150,9,9,150,60,8,8,99,7.95,706,,,,,,,,,,,
115,2023,20230312,PEN,2332,56,Fixed Hook,2B,134,Charlotte,Standard Grid,20-Jun-23,Y,,54.33950,-130.86650,39,54.30400,-130.86870,108,54.3217,-130.8677,95,54.333,-130.864,25,35,404,250,8,8,99,7.95,464,,,,,,,,,,,
116,2023,20230313,PEN,2327,57,Fixed Hook,2B,133,Charlotte,Standard Grid,20-Jun-23,Y,,54.16680,-130.85820,44,54.16670,-130.92720,50,54.1668,-130.8927,48,54.167,-130.864,20,44,326,333,8,8,99,7.95,566,,,,,,,,,,,
117,2023,20230314,PEN,2328,58,Fixed Hook,2B,133,Charlotte,Standard Grid,20-Jun-23,Y,,54.16620,-131.11500,17,54.16450,-131.17850,14,54.1653,-131.1467,16,54.167,-131.150,28,44,443,306,8,8,100,8.03,665,,,,,,,,,,,
118,2023,20230315,PEN,2329,59,Fixed Hook,2B,133,Charlotte,Standard Grid,21-Jun-23,Y,,54.16580,-131.46470,10,54.16650,-131.40050,14,54.1662,-131.4325,12,54.167,-131.433,21,35,371,255,8,8,99,7.95,508,,,,,,,,,,,
119,2023,20230316,PEN,2160,60,Fixed Hook,2B,133,Charlotte,Standard Grid,21-Jun-23,Y,,54.31020,-131.42030,69,54.34520,-131.44320,104,54.3277,-131.4318,89,54.333,-131.433,24,52,311,427,8,8,99,7.95,625,,,,,,,,,,,
120,2023,20230317,PEN,2159,61,Fixed Hook,2B,133,Charlotte,Standard Grid,21-Jun-23,Y,,54.31370,-131.14930,31,54.35380,-131.15200,37,54.3337,-131.1507,34,54.333,-131.150,13,73,192,567,8,8,99,7.95,706,,,,,,,,,,,
121,2023,20230318,STW,2277,16,Fixed Hook,2B,112,St. James,Standard Grid,10-Jun-23,Y,,52.33330,-131.13370,24,52.33330,-131.07380,68,52.3333,-131.1038,61,52.334,-131.133,14,6,429,49,8,8,100,8.03,523,,,,,,,,,,,
122,2023,20230319,STW,2114,17,Fixed Hook,2B,112,St. James,Standard Grid,10-Jun-23,Y,,52.35250,-130.86670,78,52.31220,-130.86700,88,52.3323,-130.8668,82,52.333,-130.867,27,41,391,320,8,8,98,7.87,673,,,,,,,,,,,
123,2023,20230320,STW,2120,18,Fixed Hook,2B,112,St. James,Standard Grid,10-Jun-23,Y,,52.51830,-130.86680,61,52.47920,-130.86630,57,52.4988,-130.8665,60,52.500,-130.867,52,53,"1,007",420,8,8,97,7.79,752,,,,,,,,,,,
124,2023,20230321,STW,2117,19,Fixed Hook,2B,112,St. James,Standard Grid,11-Jun-23,Y,,52.51900,-130.03350,154,52.48230,-130.03330,148,52.5007,-130.0333,149,52.500,-130.033,23,6,448,53,8,8,97,7.79,564,,,,,,,,,,,
125,2023,20230322,STW,2111,20,Fixed Hook,2B,112,St. James,Standard Grid,11-Jun-23,Y,,52.31480,-130.05000,124,52.35220,-130.04980,140,52.3335,-130.0498,130,52.333,-130.050,24,9,712,66,8,8,97,7.79,679,,,,,,,,,,,
126,2023,20230323,STW,2112,21,Fixed Hook,2B,112,St. James,Standard Grid,11-Jun-23,Y,,52.35250,-130.31670,190,52.31500,-130.31630,204,52.3337,-130.3165,197,52.333,-130.317,1,1,18,10,8,8,98,7.87,842,,,,,,,,,,,
127,2023,20230324,STW,2100,22,Fixed Hook,2B,102,St. James,Standard Grid,12-Jun-23,Y,,52.14770,-128.95000,95,52.18450,-128.94980,71,52.1660,-128.9498,88,52.167,-128.950,22,64,520,475,8,8,99,7.95,444,,,,,,,,,,,
128,2023,20230325,STW,2276,23,Fixed Hook,2B,102,St. James,Standard Grid,12-Jun-23,Y,,52.31420,-128.95000,32,52.35270,-128.95000,21,52.3335,-128.9500,28,52.333,-128.950,25,20,709,162,8,8,99,7.95,603,,,,,,,,,,,
129,2023,20230326,STW,2267,24,Fixed Hook,2B,92,Goose Is.,Standard Grid,13-Jun-23,Y,,51.64750,-127.91670,183,51.68370,-127.91680,187,51.6657,-127.9167,185,51.666,-127.915,28,11,589,88,8,8,97,7.79,463,,,,,,,,,,,
130,2023,20230327,STW,2270,25,Fixed Hook,2B,92,Goose Is.,Standard Grid,13-Jun-23,Y,,51.81450,-127.91650,182,51.85180,-127.91670,141,51.8332,-127.9165,172,51.833,-127.915,17,5,289,28,8,8,98,7.87,455,,,,,,,,,,,
131,2023,20230328,STW,2272,26,Fixed Hook,2B,92,Goose Is.,Standard Grid,14-Jun-23,Y,,52.17330,-126.86470,147,52.14970,-126.82050,156,52.1615,-126.8425,126,52.165,-126.841,1,0,65,0,8,8,99,7.95,427,,,,,,,,,,,
132,2023,20230329,STW,2275,27,Fixed Hook,2B,92,Goose Is.,Standard Grid,14-Jun-23,Y,,52.32870,-127.06670,215,52.33000,-127.04170,279,52.3293,-127.0542,197,52.332,-127.103,4,2,131,16,8,8,99,7.95,524,,,,,,,,,,,
133,2023,20230330,STW,2268,28,Fixed Hook,2B,91,Goose Is.,Standard Grid,15-Jun-23,Y,,51.67420,-128.18370,53,51.63930,-128.18330,34,51.6567,-128.1835,33,51.667,-128.183,16,17,370,129,8,8,96,7.71,427,,,,,,,,,,,
134,2023,20230331,STW,2065,29,Fixed Hook,2B,91,Goose Is.,Standard Grid,15-Jun-23,Y,,51.48070,-128.18350,49,51.51880,-128.18330,38,51.4997,-128.1833,45,51.500,-128.183,26,21,617,139,8,8,97,7.79,593,,,,,,,,,,,
135,2023,20230332,STW,2059,30,Fixed Hook,2B,91,Goose Is.,Standard Grid,16-Jun-23,Y,,51.31350,-128.45000,76,51.34570,-128.45000,75,51.3297,-128.4500,82,51.333,-128.450,19,86,229,705,8,8,97,7.79,511,,,,,,,,,,,
136,2023,20230333,STW,2052,31,Fixed Hook,2B,91,Goose Is.,Standard Grid,16-Jun-23,Y,,51.18650,-128.46680,111,51.14780,-128.46670,102,51.1672,-128.4668,106,51.167,-128.467,9,8,119,64,8,8,97,7.79,659,,,,,,,,,,,
137,2023,20230334,STW,2051,32,Fixed Hook,2B,91,Goose Is.,Standard Grid,16-Jun-23,Y,,51.18570,-128.19980,41,51.14850,-128.20000,75,51.1672,-128.1998,58,51.167,-128.200,12,16,390,116,8,8,98,7.87,776,,,,,,,,,,,
138,2023,20230335,STW,2055,33,Fixed Hook,2B,91,Goose Is.,Standard Grid,20-Jun-23,Y,,51.18550,-129.26700,167,51.14830,-129.26670,122,51.1668,-129.2668,149,51.167,-129.267,9,11,175,93,8,8,99,7.95,566,,,,,,,,,,,
139,2023,20230336,STW,2054,34,Fixed Hook,2B,91,Goose Is.,Standard Grid,20-Jun-23,Y,,51.18480,-129.00000,75,51.14780,-129.00000,72,51.1663,-129.0000,74,51.167,-129.000,13,61,195,453,8,8,99,7.95,682,,,,,,,,,,,
140,2023,20230337,STW,2061,35,Fixed Hook,2B,91,Goose Is.,Standard Grid,20-Jun-23,Y,,51.37520,-128.98320,121,51.34000,-128.98320,135,51.3575,-128.9832,126,51.333,-128.983,8,25,144,194,8,8,100,8.03,780,,,,,,,,,,,
141,2023,20230338,STW,2062,36,Fixed Hook,2B,91,Goose Is.,Standard Grid,21-Jun-23,Y,,51.35150,-129.25000,114,51.31530,-129.25000,146,51.3335,-129.2500,133,51.333,-129.250,10,15,122,129,8,8,100,8.03,502,,,,,,,,,,,
142,2023,20230339,STW,2063,37,Fixed Hook,2B,102,Goose Is.,Standard Grid,21-Jun-23,N,DO,51.35220,-129.51670,99,51.31430,-129.51670,121,51.3332,-129.5167,112,51.333,-129.517,8,8,177,70,8,8,99,7.95,612,,,,,,,,,,,
143,2023,20230340,STW,2070,38,Fixed Hook,2B,102,Goose Is.,Standard Grid,21-Jun-23,N,DO,51.51930,-129.51650,51,51.48380,-129.51670,62,51.5015,-129.5165,55,51.500,-129.517,65,17,"1,910",145,8,7,99,6.66,787,,,,,,,,,,,
144,2023,20230341,STW,2077,39,Fixed Hook,2B,102,Goose Is.,Standard Grid,22-Jun-23,Y,,51.68470,-129.78370,169,51.64670,-129.78300,112,51.6657,-129.7833,138,51.667,-129.783,11,3,259,19,8,8,98,7.87,478,,,,,,,,,,,
145,2023,20230342,STW,2071,40,Fixed Hook,2B,102,Goose Is.,Standard Grid,22-Jun-23,Y,,51.51870,-129.78330,92,51.48580,-129.78330,96,51.5022,-129.7833,95,51.500,-129.783,56,4,"1,373",41,8,8,98,7.87,702,,,,,,,,,,,
146,2023,20230343,STW,2072,41,Fixed Hook,2B,102,Goose Is.,Standard Grid,22-Jun-23,Y,,51.51930,-130.04970,138,51.48280,-130.05000,220,51.5012,-130.0498,169,51.500,-130.050,40,3,"1,080",25,8,8,98,7.87,866,,,,,,,,,,,
147,2023,20230344,STW,2064,42,Fixed Hook,2B,102,Goose Is.,Standard Grid,23-Jun-23,Y,,51.35150,-129.78380,130,51.31320,-129.78350,144,51.3323,-129.7837,136,51.333,-129.783,10,4,197,27,8,8,98,7.87,548,,,,,,,,,,,
148,2023,20230345,STW,2265,43,Fixed Hook,2B,100,Goose Is.,Standard Grid,23-Jun-23,Y,,51.35220,-130.05030,180,51.31230,-130.05020,187,51.3322,-130.0503,180,51.334,-130.050,27,4,705,31,8,8,98,7.87,732,,,,,,,,,,,
149,2023,20230346,STW,2262,44,Fixed Hook,2B,100,Goose Is.,Standard Grid,23-Jun-23,Y,,51.18520,-130.05020,335,51.14750,-130.05020,393,51.1663,-130.0502,357,51.167,-130.049,0,0,0,0,8,8,97,7.79,861,,,,,,,,,,,
150,2023,20230347,STW,2056,45,Fixed Hook,2B,100,Goose Is.,Standard Grid,24-Jun-23,N,DS,51.18680,-129.53330,156,51.15150,-129.53370,158,51.1692,-129.5335,157,51.167,-129.533,13,10,179,82,8,8,97,7.79,471,,,,,,,,,,,
151,2023,20230348,STW,2263,46,Fixed Hook,2B,100,Goose Is.,Standard Grid,24-Jun-23,N,DS,51.18550,-129.78330,316,51.14720,-129.78300,288,51.1663,-129.7832,305,51.167,-129.783,0,0,0,0,8,8,95,7.63,637,,,,,,,,,,,
152,2023,20230349,STW,2261,47,Fixed Hook,2B,100,Goose Is.,Standard Grid,24-Jun-23,N,DS,51.02470,-129.76850,247,50.98820,-129.76830,256,51.0063,-129.7685,251,51.000,-129.798,0,0,0,0,8,8,98,7.87,938,,,,,,,,,,,
153,2023,20230350,STW,2050,48,Fixed Hook,2B,90,Goose Is.,Standard Grid,25-Jun-23,N,DS,51.01780,-129.53370,145,50.98020,-129.53330,131,50.9990,-129.5335,135,51.000,-129.533,1,2,14,17,8,8,99,7.95,715,,,,,,,,,,,
154,2023,20230351,STW,2258,49,Fixed Hook,2B,90,Goose Is.,Standard Grid,25-Jun-23,N,MS,50.90770,-129.53330,117,50.86970,-129.53320,180,50.8887,-129.5333,112,50.834,-129.533,3,2,53,19,8,8,99,7.95,216,,,,,,,,,,,
155,2023,20230352,STW,2258,50,Fixed Hook,2B,90,Goose Is.,Standard Grid,25-Jun-23,Y,,50.90000,-129.53330,105,50.86230,-129.53280,124,50.8812,-129.5330,109,50.834,-129.533,27,7,793,64,8,8,99,7.95,672,,,,,,,,,,,
156,2023,20230353,STW,2045,51,Fixed Hook,2B,90,Goose Is.,Standard Grid,25-Jun-23,Y,,50.85250,-129.26670,66,50.81620,-129.26650,73,50.8343,-129.2667,68,50.833,-129.267,5,5,106,38,8,8,97,7.79,837,,,,,,,,,,,
157,2023,20230354,STW,2049,52,Fixed Hook,2B,90,Goose Is.,Standard Grid,26-Jun-23,Y,,51.01930,-129.26670,91,50.98020,-129.26670,87,50.9998,-129.2667,88,51.000,-129.267,1,12,10,68,8,8,95,7.63,493,,,,,,,,,,,
158,2023,20230355,STW,2048,53,Fixed Hook,2B,91,Goose Is.,Standard Grid,26-Jun-23,N,GI,51.01920,-129.00000,48,50.97930,-128.99980,45,50.9992,-129.0000,46,51.000,-129.000,7,27,147,163,8,8,94,7.55,608,,,,,,,,,,,
159,2023,20230356,STW,2044,54,Fixed Hook,2B,90,Goose Is.,Standard Grid,26-Jun-23,Y,,50.85300,-128.99950,40,50.81150,-128.99950,55,50.8323,-128.9995,48,50.833,-129.000,23,20,771,143,8,8,98,7.87,790,,,,,,,,,,,
160,2023,20230395,PEN,3005,62,Fixed Hook,2B,142,Charlotte,Standard Grid,24-Jun-23,Y,,54.51750,-133.16630,80,54.47250,-133.16620,127,54.4950,-133.1662,116,54.500,-133.167,40,27,"1,014",205,8,8,99,7.95,490,,,,,,,,,,,
161,2023,20230396,PEN,2166,63,Fixed Hook,2B,135,Charlotte,Standard Grid,24-Jun-23,Y,,54.34500,-133.12500,252,54.32050,-133.17270,258,54.3327,-133.1488,255,54.333,-133.150,8,2,342,18,8,8,99,7.95,658,,,,,,,,,,,
162,2023,20230397,PEN,2167,64,Fixed Hook,2B,131,Charlotte,Standard Grid,24-Jun-23,Y,,54.33300,-133.39320,136,54.33400,-133.45950,127,54.3335,-133.4263,129,54.333,-133.433,30,19,870,125,8,8,98,7.87,794,,,,,,,,,,,
163,2023,20230398,PEN,2168,65,Fixed Hook,2B,131,Charlotte,Standard Grid,25-Jun-23,Y,,54.33400,-133.68300,138,54.33320,-133.74630,136,54.3337,-133.7147,136,54.333,-133.717,40,37,802,305,8,8,99,7.95,501,,,,,,,,,,,
164,2023,20230399,PEN,2330,66,Fixed Hook,2B,131,Charlotte,Standard Grid,25-Jun-23,N,DS,54.19030,-133.71650,130,54.15250,-133.71570,155,54.1715,-133.7162,133,54.167,-133.717,68,26,"1,465",196,8,8,100,8.03,639,,,,,,,,,,,
165,2023,20230400,PEN,2157,67,Fixed Hook,2B,131,Charlotte,Standard Grid,25-Jun-23,Y,,54.16600,-133.46550,210,54.16630,-133.40530,221,54.1662,-133.4353,217,54.167,-133.433,9,6,200,47,8,8,99,7.95,774,,,,,,,,,,,
166,2023,20230401,PEN,2151,68,Fixed Hook,2B,130,Charlotte,Standard Grid,26-Jun-23,Y,,54.00070,-133.43950,46,53.99950,-133.37250,41,54.0002,-133.4060,42,54.000,-133.417,52,72,"1,169",518,8,8,99,7.95,460,,,,,,,,,,,
167,2023,20230402,PEN,2323,69,Fixed Hook,2B,130,Charlotte,Standard Grid,26-Jun-23,N,DO,53.99980,-133.21620,25,54.00030,-133.15130,14,54.0002,-133.1837,20,54.000,-133.133,30,29,963,216,8,8,99,7.95,559,,,,,,,,,,,
168,2023,20230403,PEN,2321,70,Fixed Hook,2B,130,Charlotte,Standard Grid,26-Jun-23,Y,,53.83400,-133.36650,114,53.83350,-133.43300,165,53.8338,-133.3997,131,53.834,-133.417,51,40,"1,062",278,8,8,98,7.87,683,,,,,,,,,,,
169,2023,20230404,PEN,2293,71,Fixed Hook,2B,120,Charlotte,Standard Grid,27-Jun-23,Y,,52.99970,-132.54850,183,52.99980,-132.48770,120,52.9997,-132.5182,203,53.000,-132.538,7,12,283,87,8,8,98,7.87,739,,,,,,,,,,,
170,2023,20230405,PEN,2290,72,Fixed Hook,2B,120,Charlotte,Standard Grid,27-Jun-23,Y,,53.01800,-132.32730,110,53.00200,-132.27130,61,53.0100,-132.2993,105,53.000,-132.260,25,20,618,155,8,8,99,7.95,439,,,,,,,,,,,
171,2023,20230406,PEN,2144,73,Fixed Hook,2B,130,Charlotte,Standard Grid,28-Jun-23,Y,,53.32370,-133.09980,147,53.36080,-133.09930,113,53.3423,-133.0995,122,53.333,-133.100,36,6,"1,222",43,8,8,99,7.95,760,,,,,,,,,,,
172,2023,20230407,PEN,2143,74,Fixed Hook,2B,130,Charlotte,Standard Grid,28-Jun-23,Y,,53.33320,-132.84880,81,53.33300,-132.78580,59,53.3330,-132.8173,76,53.333,-132.817,44,67,"1,327",472,8,8,100,8.03,425,,,,,,,,,,,
173,2023,20230408,PEN,2146,75,Fixed Hook,2B,130,Charlotte,Standard Grid,29-Jun-23,Y,,53.48780,-133.09950,210,53.52550,-133.10020,130,53.5067,-133.0998,194,53.500,-133.100,10,11,236,77,8,8,100,8.03,440,,,,,,,,,,,
174,2023,20230409,PEN,2149,76,Fixed Hook,2B,130,Charlotte,Standard Grid,29-Jun-23,Y,,53.66670,-133.15120,53,53.66670,-133.08600,70,53.6667,-133.1187,74,53.667,-133.117,42,52,"1,315",366,8,8,101,8.11,590,,,,,,,,,,,
175,2023,20230410,VNI,2214,46,Fixed Hook,2B,70,Vancouver Outside,Standard Grid,25-Jun-23,Y,,48.84950,-126.62970,305,48.81170,-126.62720,285,48.8307,-126.6283,286,48.834,-126.633,1,0,16,0,8,8,99,7.95,475,,,,,,,,,,,
176,2023,20230411,VNI,2015,47,Fixed Hook,2B,60,Vancouver Outside,Standard Grid,25-Jun-23,Y,,48.83280,-126.41230,98,48.83280,-126.35150,96,48.8328,-126.3818,97,48.833,-126.383,0,1,0,9,8,8,100,8.03,609,,,,,,,,,,,
177,2023,20230412,VNI,2210,48,Fixed Hook,2B,60,Vancouver Outside,Standard Grid,25-Jun-23,Y,,48.66630,-126.32180,240,48.66670,-126.37900,368,48.6665,-126.3503,304,48.667,-126.383,0,0,0,0,8,8,99,7.95,743,,,,,,,,,,,
178,2023,20230413,VNI,2006,49,Fixed Hook,2B,60,Vancouver Outside,Standard Grid,26-Jun-23,Y,,48.49900,-126.15900,124,48.49930,-126.09700,103,48.4992,-126.1280,109,48.500,-126.133,6,2,91,12,8,8,98,7.87,431,,,,,,,,,,,
179,2023,20230414,VNI,2005,50,Fixed Hook,2B,60,Vancouver Outside,Standard Grid,26-Jun-23,Y,,48.50030,-125.90880,59,48.50000,-125.84980,56,48.5002,-125.8793,57,48.500,-125.883,2,2,35,15,8,8,99,7.95,562,,,,,,,,,,,
180,2023,20230415,VNI,2205,51,Fixed Hook,2B,60,Vancouver Outside,Standard Grid,26-Jun-23,Y,,48.36230,-126.07320,240,48.36170,-126.12820,231,48.3620,-126.1007,222,48.334,-126.133,7,0,157,0,8,8,99,7.95,665,,,,,,,,,,,
181,2023,20230416,VNI,2002,52,Fixed Hook,2B,60,Vancouver Outside,Standard Grid,27-Jun-23,Y,,48.33330,-125.89880,232,48.33330,-125.84020,92,48.3333,-125.8695,170,48.333,-125.883,31,67,413,557,8,8,99,7.95,435,,,,,,,,,,,
182,2023,20230417,VNI,2001,53,Fixed Hook,2B,60,Vancouver Outside,Standard Grid,27-Jun-23,Y,,48.33420,-125.65820,77,48.33320,-125.59700,78,48.3337,-125.6275,76,48.333,-125.633,0,0,0,0,8,8,100,8.03,542,,,,,,,,,,,
183,2023,20230418,VNI,2004,54,Fixed Hook,2B,60,Vancouver Outside,Standard Grid,27-Jun-23,Y,,48.49830,-125.60630,74,48.49870,-125.66720,52,48.4985,-125.6367,57,48.500,-125.633,15,10,230,67,8,8,100,8.03,663,,,,,,,,,,,
184,2023,20230419,VNI,2010,55,Fixed Hook,2B,60,Vancouver Outside,Standard Grid,28-Jun-23,Y,,48.66650,-125.85150,40,48.66600,-125.91480,44,48.6663,-125.8832,40,48.667,-125.883,19,64,261,501,8,8,99,7.95,433,,,,,,,,,,,
185,2023,20230420,VNI,2011,56,Fixed Hook,2B,60,Vancouver Outside,Standard Grid,28-Jun-23,Y,,48.66620,-126.10520,73,48.66680,-126.16270,84,48.6665,-126.1338,78,48.667,-126.133,2,2,24,16,8,8,100,8.03,550,,,,,,,,,,,
186,2023,20230421,VNI,2014,57,Fixed Hook,2B,60,Vancouver Outside,Standard Grid,28-Jun-23,Y,,48.83270,-126.15930,64,48.83230,-126.10300,53,48.8325,-126.1312,58,48.833,-126.133,2,15,26,96,8,8,100,8.03,652,,,,,,,,,,,
187,2023,20230422,PEN,2135,77,Fixed Hook,2B,112,Charlotte,Standard Grid,02-Jul-23,Y,,52.99980,-130.27270,118,52.99970,-130.33430,109,52.9997,-130.3035,113,53.000,-130.300,10,3,212,20,8,8,98,7.87,476,,,,,,,,,,,
188,2023,20230423,PEN,2137,78,Fixed Hook,2B,112,Charlotte,Standard Grid,02-Jul-23,Y,,53.15150,-130.27030,98,53.15150,-130.20780,45,53.1515,-130.2390,67,53.167,-130.300,10,20,362,145,8,8,99,7.95,588,,,,,,,,,,,
189,2023,20230424,PEN,2299,79,Fixed Hook,2B,112,Charlotte,Standard Grid,02-Jul-23,Y,,53.17120,-130.06480,36,53.17100,-130.00030,31,53.1712,-130.0325,45,53.167,-130.033,52,63,"1,275",491,8,8,101,8.11,693,,,,,,,,,,,
190,2023,20230425,PEN,2140,80,Fixed Hook,2B,121,Charlotte,Standard Grid,03-Jul-23,Y,,53.33320,-130.26050,57,53.33330,-130.32150,68,53.3333,-130.2910,61,53.333,-130.300,45,31,"1,031",209,8,8,100,8.03,443,,,,,,,,,,,
191,2023,20230426,PEN,2141,81,Fixed Hook,2B,121,Charlotte,Standard Grid,03-Jul-23,Y,,53.33300,-130.60570,90,53.33350,-130.54050,28,53.3332,-130.5732,41,53.333,-130.583,59,81,"1,464",612,8,8,98,7.87,535,,,,,,,,,,,
192,2023,20230427,PEN,2158,82,Fixed Hook,2B,134,Charlotte,Standard Grid,04-Jul-23,Y,,54.33350,-130.54830,46,54.33300,-130.61430,86,54.3332,-130.5813,58,54.333,-130.583,8,30,327,209,8,8,99,7.95,463,,,,,,,,,,,
