Row number,Year,Stlkey,Vessel code,Station,Setno,Gear,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
22,2023,20230022,VNI,2043,3,Fixed Hook,2B,91,Vancouver Outside,Standard Grid,29-May-23,Y,,51.16520,-127.89750,68,51.16680,-127.95800,75,51.1660,-127.9277,67,51.167,-127.933,11,22,172,159,8,8,99,7.95,458,,,,,,,,,,,
23,2023,20230023,VNI,2042,4,Fixed Hook,2B,91,Vancouver Outside,Standard Grid,29-May-23,Y,,50.99800,-128.18800,58,50.99970,-128.25080,50,50.9988,-128.2193,55,51.000,-128.217,15,18,434,107,8,8,99,7.95,543,,,,,,,,,,,
24,2023,20230024,VNI,2040,5,Fixed Hook,2B,91,Vancouver Outside,Standard Grid,30-May-23,Y,,50.83370,-128.50000,38,50.83220,-128.39380,31,50.8330,-128.4468,31,50.833,-128.467,49,53,"1,140",381,8,8,99,7.95,490,,,,,,,,,,,
25,2023,20230025,VNI,2038,6,Fixed Hook,2B,90,Vancouver Outside,Standard Grid,30-May-23,N,DS,50.66550,-128.43550,50,50.66530,-128.49430,58,50.6653,-128.4648,51,50.667,-128.467,13,43,271,292,8,8,98,7.87,589,,,,,,,,,,,
26,2023,20230026,VNI,2039,7,Fixed Hook,2B,90,Vancouver Outside,Standard Grid,30-May-23,Y,,50.66600,-128.70600,99,50.66530,-128.76400,110,50.6657,-128.7350,105,50.667,-128.733,2,6,27,34,8,8,99,7.95,687,,,,,,,,,,,
27,2023,20230027,VNI,2037,8,Fixed Hook,2B,90,Vancouver Outside,Standard Grid,31-May-23,Y,,50.51750,-128.44830,99,50.47600,-128.44680,104,50.4968,-128.4475,101,50.500,-128.450,14,17,238,120,8,8,99,7.95,474,,,,,,,,,,,
28,2023,20230028,VNI,2035,9,Fixed Hook,2B,80,Vancouver Outside,Standard Grid,31-May-23,Y,,50.33300,-128.20950,93,50.33350,-128.14900,75,50.3332,-128.1793,85,50.333,-128.183,53,75,772,640,8,8,99,7.95,615,,,,,,,,,,,
29,2023,20230029,VNI,2242,10,Fixed Hook,2B,80,Vancouver Outside,Standard Grid,01-Jun-23,Y,,50.18820,-127.93930,38,50.14950,-127.93880,32,50.1688,-127.9390,29,50.167,-127.922,28,33,684,239,8,8,99,7.95,444,,,,,,,,,,,
30,2023,20230030,VNI,2034,11,Fixed Hook,2B,80,Vancouver Outside,Standard Grid,01-Jun-23,Y,,50.00050,-127.69270,52,49.99930,-127.63300,44,50.0000,-127.6628,47,50.000,-127.667,42,84,772,601,8,8,99,7.95,556,,,,,,,,,,,
31,2023,20230031,VNI,2237,12,Fixed Hook,2B,80,Vancouver Outside,Standard Grid,02-Jun-23,Y,,49.83220,-127.12530,18,49.83330,-127.18750,27,49.8328,-127.1563,21,49.833,-127.150,23,21,587,157,8,8,99,7.95,474,,,,,,,,,,,
32,2023,20230032,VNI,2032,13,Fixed Hook,2B,80,Vancouver Outside,Standard Grid,02-Jun-23,Y,,49.83350,-127.37100,44,49.83350,-127.43170,41,49.8335,-127.4013,42,49.833,-127.400,28,29,725,225,8,8,98,7.87,575,,,,,,,,,,,
33,2023,20230033,VNI,2033,14,Fixed Hook,2B,80,Vancouver Outside,Standard Grid,02-Jun-23,Y,,49.83230,-127.63920,82,49.83250,-127.69720,138,49.8325,-127.6682,96,49.833,-127.667,15,8,272,53,8,8,99,7.95,714,,,,,,,,,,,
34,2023,20230034,VNI,2248,15,Fixed Hook,2B,80,Vancouver Outside,Standard Grid,03-Jun-23,Y,,50.46180,-128.21000,49,50.46080,-128.15120,30,50.4613,-128.1807,38,50.500,-128.183,16,17,360,125,8,8,99,7.95,436,,,,,,,,,,,
